,word,count
0,game,8844
1,good,1733
2,like,1369
3,elden,1251
4,soul,1234
5,time,1183
6,ring,1173
7,world,1139
8,one,1047
9,play,1024
10,best,1009
11,dont,992
12,get,974
13,fun,938
14,played,761
15,great,726
16,ever,724
17,boss,686
18,im,684
19,first,668
20,open,654
21,bos,645
22,even,639
23,hour,599
24,make,592
25,hard,581
26,love,575
27,much,574
28,really,574
29,would,566
30,ive,564
31,dark,544
32,amazing,512
33,way,511
34,still,510
35,feel,504
36,story,484
37,playing,481
38,right,478
39,every,451
40,recommend,449
41,want,441
42,lot,437
43,go,436
44,experience,420
45,year,403
46,player,402
47,thing,400
48,also,393
49,many,392
50,enemy,386
51,try,378
52,say,367
53,never,355
54,combat,354
55,new,354
56,made,347
57,cant,328
58,fight,325
59,find,323
60,malenia,316
61,better,313
62,well,309
63,got,307
64,bad,301
65,build,299
66,gameplay,296
67,weapon,295
68,worth,292
69,think,285
70,give,282
71,character,282
72,everything,281
73,easy,281
74,area,277
75,beautiful,276
76,yes,272
77,beat,270
78,die,269
79,back,266
80,need,263
81,level,263
82,could,262
83,pretty,259
84,youre,255
85,masterpiece,252
86,big,246
87,something,242
88,know,242
89,long,240
90,people,239
91,difficult,236
92,blade,235
93,hate,232
94,life,232
95,design,231
96,see,230
97,miquella,226
98,take,225
99,lore,223
100,friend,220
101,look,219
102,end,216
103,always,213
104,challenge,213
105,difficulty,208
106,buy,206
107,different,205
108,explore,203
109,come,202
110,fromsoft,201
111,pc,200
112,enough,199
113,enjoy,197
114,thats,197
115,though,197
116,run,195
117,around,194
118,use,192
119,without,192
120,attack,191
121,going,190
122,point,189
123,quest,187
124,bit,186
125,item,186
126,challenging,184
127,absolutely,181
128,actually,181
129,keep,181
130,since,180
131,graphic,179
132,didnt,178
133,kill,178
134,far,177
135,there,176
136,probably,174
137,little,173
138,start,173
139,gud,172
140,god,171
141,cool,170
142,map,170
143,getting,168
144,second,167
145,nothing,166
146,truly,165
147,content,164
148,part,164
149,definitely,162
150,nice,162
151,help,162
152,u,161
153,issue,159
154,reason,158
155,isnt,157
156,review,156
157,doesnt,156
158,exploration,156
159,another,156
160,perfect,155
161,put,154
162,mechanic,153
163,finger,152
164,overall,152
165,video,151
166,fromsoftware,150
167,work,149
168,youll,146
169,sure,145
170,dog,145
171,dlc,144
172,money,143
173,goty,143
174,d,142
175,hit,141
176,already,141
177,shit,139
178,let,139
179,coop,138
180,yet,138
181,looking,137
182,system,137
183,grind,137
184,npc,135
185,rpg,135
186,dungeon,135
187,title,131
188,almost,131
189,awesome,131
190,hole,129
191,learn,129
192,said,128
193,anything,127
194,found,123
195,mean,123
196,incredible,123
197,least,123
198,instead,123
199,soulslike,123
